N,seconds
1000,0.000199
2000,0.000412
3000,0.000643
4000,0.000968
5000,0.001359
6000,0.001223
7000,0.001532
8000,0.001613
9000,0.001877
10000,0.002935
11000,0.002431
12000,0.005035
13000,0.003061
14000,0.004274
15000,0.003618
16000,0.010336
17000,0.003822
18000,0.004596
19000,0.005404
20000,0.005220
21000,0.012038
22000,0.005066
23000,0.007100
24000,0.013852
25000,0.007075
26000,0.008983
27000,0.013927
28000,0.007652
29000,0.008439
30000,0.013978
31000,0.007077
32000,0.008867
33000,0.016343
34000,0.009193
35000,0.010269
36000,0.015722
37000,0.019460
38000,0.010742
39000,0.018318
40000,0.010630
41000,0.012506
42000,0.015974
43000,0.018895
44000,0.011134
45000,0.023345
46000,0.011110
47000,0.014120
48000,0.012927
49000,0.014556
50000,0.014799
51000,0.014740
52000,0.016746
53000,0.014803
54000,0.015375
55000,0.014847
56000,0.016562
57000,0.015161
58000,0.019291
59000,0.014538
60000,0.019525
61000,0.015801
62000,0.018290
63000,0.019492
64000,0.017117
65000,0.017547
66000,0.019247
67000,0.019138
68000,0.017415
69000,0.023245
70000,0.020729
71000,0.018951
72000,0.021149
73000,0.019026
74000,0.020694
75000,0.020024
76000,0.021898
77000,0.024616
78000,0.020309
79000,0.022649
80000,0.024141
81000,0.021392
82000,0.032597
83000,0.022216
84000,0.025362
85000,0.025181
86000,0.024052
87000,0.024354
88000,0.025355
89000,0.031715
90000,0.024385
91000,0.028063
92000,0.027120
93000,0.026699
94000,0.028388
95000,0.026758
96000,0.026984
97000,0.026644
98000,0.029107
99000,0.028817
100000,0.031104
101000,0.037170
102000,0.039924
103000,0.033759
104000,0.032294
105000,0.031726
106000,0.032691
107000,0.031742
108000,0.031379
109000,0.033619
110000,0.034538
111000,0.036035
112000,0.051417
113000,0.044802
114000,0.047103
115000,0.036098
116000,0.043065
117000,0.032340
118000,0.039335
119000,0.044189
120000,0.036586
121000,0.035464
122000,0.037176
123000,0.042197
124000,0.051096
125000,0.047976
126000,0.053299
127000,0.050911
128000,0.043247
129000,0.039219
130000,0.041501
131000,0.039006
132000,0.040185
133000,0.040175
134000,0.040947
135000,0.037627
136000,0.038908
137000,0.039560
138000,0.041154
139000,0.041076
140000,0.043762
141000,0.051573
142000,0.060401
143000,0.047633
144000,0.052884
145000,0.049663
146000,0.046648
147000,0.041745
148000,0.043368
149000,0.043438
150000,0.043585
151000,0.045930
152000,0.044488
153000,0.045523
154000,0.045797
155000,0.044457
156000,0.048041
157000,0.044217
158000,0.047581
159000,0.047655
160000,0.047719
161000,0.046157
162000,0.049139
163000,0.046474
164000,0.047987
165000,0.046559
166000,0.050771
167000,0.045860
168000,0.051632
169000,0.046804
170000,0.051227
171000,0.048509
172000,0.049519
173000,0.048338
174000,0.051534
175000,0.049160
176000,0.052060
177000,0.050588
178000,0.052779
179000,0.049810
180000,0.054825
181000,0.055620
182000,0.052816
183000,0.053834
184000,0.051666
185000,0.061700
186000,0.073783
187000,0.061203
188000,0.054383
189000,0.057607
190000,0.064068
191000,0.066550
192000,0.069566
193000,0.055657
194000,0.053926
195000,0.050501
196000,0.052321
197000,0.049350
198000,0.051037
199000,0.050837
200000,0.058672
201000,0.051145
202000,0.050542
203000,0.053423
204000,0.057232
205000,0.052597
206000,0.053129
207000,0.058852
208000,0.066262
209000,0.077426
210000,0.070373
211000,0.057051
212000,0.074332
213000,0.070303
214000,0.066663
215000,0.081321
216000,0.077835
217000,0.070440
218000,0.072273
219000,0.075627
220000,0.064200
221000,0.072858
222000,0.076669
223000,0.073409
224000,0.063627
225000,0.061454
226000,0.104192
227000,0.069816
228000,0.065019
229000,0.074953
230000,0.070298
231000,0.075379
232000,0.089866
233000,0.095276
234000,0.090789
235000,0.076909
236000,0.066782
237000,0.061970
238000,0.064684
239000,0.074730
240000,0.100518
241000,0.081011
242000,0.074017
243000,0.077722
244000,0.107190
245000,0.103689
246000,0.094978
247000,0.131794
248000,0.132345
249000,0.120135
250000,0.081603
251000,0.069963
252000,0.087348
253000,0.082686
254000,0.075196
255000,0.073744
256000,0.083673
257000,0.079118
258000,0.084891
259000,0.080623
260000,0.078548
261000,0.079471
262000,0.080124
263000,0.077179
264000,0.075733
265000,0.085685
266000,0.080245
267000,0.078748
268000,0.081015
269000,0.080055
270000,0.078260
271000,0.079089
272000,0.079751
273000,0.078679
274000,0.078175
275000,0.080054
276000,0.079419
277000,0.080693
278000,0.081080
279000,0.080799
280000,0.079920
281000,0.081277
282000,0.081667
283000,0.082564
284000,0.081913
285000,0.083028
286000,0.083134
287000,0.081554
288000,0.082677
289000,0.084278
290000,0.084001
291000,0.083480
292000,0.082768
293000,0.085683
294000,0.087058
295000,0.085042
296000,0.084745
297000,0.088588
298000,0.088411
299000,0.086490
300000,0.088049
301000,0.086469
302000,0.086652
303000,0.088370
304000,0.087474
305000,0.088892
306000,0.089498
307000,0.088976
308000,0.089444
309000,0.088406
310000,0.088978
311000,0.093850
312000,0.091326
313000,0.090195
314000,0.091386
315000,0.095495
316000,0.090815
317000,0.094319
318000,0.091062
319000,0.091829
320000,0.092502
321000,0.092897
322000,0.091340
323000,0.093951
324000,0.093376
325000,0.093198
326000,0.095465
327000,0.094738
328000,0.093651
329000,0.094156
330000,0.125976
331000,0.107460
332000,0.108869
333000,0.112561
334000,0.112481
335000,0.110902
336000,0.111939
337000,0.110208
338000,0.108640
339000,0.098215
340000,0.098910
341000,0.097734
342000,0.099516
343000,0.102537
344000,0.101285
345000,0.099932
346000,0.100761
347000,0.099640
348000,0.100025
349000,0.100144
350000,0.102931
351000,0.105406
352000,0.101578
353000,0.103200
354000,0.112762
355000,0.101631
356000,0.103845
357000,0.103131
358000,0.103593
359000,0.104633
360000,0.123057
361000,0.103739
362000,0.103733
363000,0.104743
364000,0.105410
365000,0.109265
366000,0.105299
367000,0.108581
368000,0.106257
369000,0.106532
370000,0.107780
371000,0.107425
372000,0.107621
373000,0.109837
374000,0.106603
375000,0.110010
376000,0.110206
377000,0.107618
378000,0.110871
379000,0.113022
380000,0.110390
381000,0.112128
382000,0.110252
383000,0.113478
384000,0.112850
385000,0.109950
386000,0.111377
387000,0.113291
388000,0.115551
389000,0.111448
390000,0.110649
391000,0.115162
392000,0.111552
393000,0.113958
394000,0.111635
395000,0.112642
396000,0.113427
397000,0.113375
398000,0.116353
399000,0.114151
400000,0.115604
401000,0.115057
402000,0.115138
403000,0.119238
404000,0.116069
405000,0.116341
406000,0.116084
407000,0.118822
408000,0.121048
409000,0.118249
410000,0.118389
411000,0.118027
412000,0.118672
413000,0.121400
414000,0.118998
415000,0.118530
416000,0.118416
417000,0.120743
418000,0.120076
419000,0.119983
420000,0.120204
421000,0.120648
422000,0.122736
423000,0.121527
424000,0.120935
425000,0.123582
426000,0.120961
427000,0.128199
428000,0.122458
429000,0.123048
430000,0.122613
431000,0.124039
432000,0.121586
433000,0.123643
434000,0.123472
435000,0.124921
436000,0.129799
437000,0.128430
438000,0.132932
439000,0.127326
440000,0.131628
441000,0.126581
442000,0.127592
443000,0.127885
444000,0.132110
445000,0.151838
446000,0.179767
447000,0.133573
448000,0.130643
449000,0.127944
450000,0.132409
451000,0.161142
452000,0.137776
453000,0.144172
454000,0.156781
455000,0.144685
456000,0.129583
457000,0.133583
458000,0.132946
459000,0.132289
460000,0.134162
461000,0.133629
462000,0.137305
463000,0.136863
464000,0.132454
465000,0.134205
466000,0.136623
467000,0.133873
468000,0.134362
469000,0.134068
470000,0.138537
471000,0.135048
472000,0.135613
473000,0.134662
474000,0.136605
475000,0.144568
476000,0.142427
477000,0.138818
478000,0.141416
479000,0.142662
480000,0.138122
481000,0.142012
482000,0.144645
483000,0.140556
484000,0.140310
485000,0.140695
486000,0.139527
487000,0.135763
488000,0.139494
489000,0.139279
490000,0.140104
491000,0.141305
492000,0.141450
493000,0.141730
494000,0.141612
495000,0.142512
496000,0.141548
497000,0.142820
498000,0.142398
499000,0.146815
500000,0.142028
